time,actual_temp,actual_pressure,actual_humidity,actual_rain,pred24_temp,pred24_pressure,pred24_humidity,pred24_rain
2025-01-19 05:00:00,-0.1,1022.3,58.0,0.0,5.2743545,1028.2295,59.73913,0.026115103
2025-01-19 06:00:00,-0.7,1022.0,63.0,0.0,4.6579504,1028.1086,62.07528,0.025149645
2025-01-19 07:00:00,-1.0,1021.9,67.0,0.0,3.9264717,1027.7815,64.7499,0.02415393
2025-01-19 08:00:00,-1.5,1022.4,73.0,0.0,3.3349154,1027.2109,67.26248,0.024217455
2025-01-19 09:00:00,-1.1,1022.8,72.0,0.0,3.0537755,1027.0586,68.68852,0.024680384
2025-01-19 10:00:00,1.9,1023.0,66.0,0.0,3.1285248,1027.1337,68.40558,0.024727648
2025-01-19 11:00:00,4.0,1023.5,54.0,0.0,6.5725555,1027.1278,55.45372,0.029088104
2025-01-19 12:00:00,5.2,1023.4,56.0,0.0,9.765597,1026.9663,47.210423,0.029304212
2025-01-19 13:00:00,6.1,1022.3,55.0,0.0,11.850923,1026.9946,43.251095,0.023549266
2025-01-19 14:00:00,6.9,1021.0,49.0,0.0,13.407977,1026.3427,40.364723,0.02023743
2025-01-19 15:00:00,7.0,1020.0,52.0,0.0,14.236017,1024.8662,38.686058,0.018216142
2025-01-19 16:00:00,6.8,1019.6,55.0,0.0,13.256574,1023.77386,40.908085,0.020268286
2025-01-19 17:00:00,5.9,1019.8,61.0,0.0,11.737534,1023.33044,43.79919,0.023005776
2025-01-19 18:00:00,2.2,1020.3,77.0,0.0,9.070293,1023.28174,49.38975,0.025363974
2025-01-19 19:00:00,2.1,1020.4,81.0,0.0,6.012163,1023.8442,58.563602,0.025486501
2025-01-19 20:00:00,1.9,1020.4,83.0,0.0,5.0692596,1024.6477,61.219814,0.027252877
2025-01-19 21:00:00,2.4,1020.5,82.0,0.0,3.1919537,1025.1755,67.567474,0.025270937
2025-01-19 22:00:00,1.9,1020.3,84.0,0.0,2.8424997,1025.6462,68.3539,0.024055019
2025-01-19 23:00:00,2.7,1020.8,84.0,0.1,3.007289,1025.1655,68.205894,0.025306493
2025-01-20 00:00:00,2.5,1020.7,88.0,0.2,2.7856753,1025.2303,69.39674,0.025803037
2025-01-20 01:00:00,2.1,1020.8,88.0,0.0,2.4797664,1025.3103,70.69736,0.025982805
2025-01-20 02:00:00,3.3,1019.7,88.0,0.2,2.379634,1025.0289,71.21043,0.026648806
2025-01-20 03:00:00,3.0,1019.2,92.0,0.6,3.7061846,1024.5073,65.32778,0.027132705
2025-01-20 04:00:00,2.6,1019.3,93.0,0.3,4.0571585,1024.0663,64.66698,0.028430223
2025-01-20 05:00:00,2.6,1019.2,93.0,0.4,4.0204587,1024.228,64.54384,0.027426798
2025-01-20 06:00:00,2.4,1018.9,94.0,0.2,3.6353197,1024.2307,66.246346,0.027320093
2025-01-20 07:00:00,1.9,1018.6,94.0,0.0,3.22264,1023.90814,68.082664,0.027959116
2025-01-20 08:00:00,2.0,1018.5,94.0,0.0,2.8066192,1023.4738,70.04174,0.029099675
2025-01-20 09:00:00,2.2,1019.0,96.0,0.1,2.336535,1023.3235,72.314705,0.03007276
2025-01-20 10:00:00,2.7,1019.4,96.0,0.0,2.4769363,1023.58704,71.83118,0.029844224
2025-01-20 11:00:00,3.3,1019.9,95.0,0.0,3.8664112,1024.0868,66.8768,0.03023052
2025-01-20 12:00:00,4.1,1020.1,93.0,1.1,5.852233,1024.4814,60.166237,0.03191469
2025-01-20 13:00:00,4.7,1019.5,94.0,0.0,6.056777,1024.4736,61.370777,0.035016637
